feature,importance
day_of_month,17.24683857547371
month,12.958842836470417
volatility_factor,5.056766279524475
day_of_week,4.158428274922783
quarter,3.4806807694399464
OBV,3.1507441080762786
vol_ma5,2.929332813723703
AD,2.762084907879284
ATRr_14,2.36347448326886
high_low_ratio,2.1951281857481306
rsi_percentile_60,2.165893113492649
price_percentile_60,2.137293216663552
price_vol_corr,1.8565938058408857
DMN_14,1.8205558728073528
close_ratio_20,1.579715926920763
CMF_20,1.573509286046252
ADXR_14_2,1.462839801364781
DMP_14,1.2053825667733544
macd_signal,1.1948298088338276
close_position,1.1262022770932971
atr_volume_cross,1.097813004405962
is_friday,1.0715342209141263
is_year_start,1.0452214941624185
BBB_5_2.0_2.0,1.0249065904428831
return_10d,1.0011867918054373
BBL_5_2.0_2.0,0.9968833495723386
is_year_end,0.9703322164124838
MACDs_12_26_9,0.9470026108611809
is_monday,0.9407931934691101
return_2d,0.9356480471814731
STOCHh_14_3_3,0.9132794139754565
rsi14,0.8421745859336268
momentum_5,0.8268537935506677
STOCHd_14_3_3,0.8066465869077281
MACDh_12_26_9,0.794372823088765
ma20,0.7859961909831107
volatility_10,0.7285416790381648
BBU_5_2.0_2.0,0.6888085989435456
macd_trend_cross,0.6635033704597619
close_lag1,0.6229378577032688
macd_histogram_change,0.6111031408983509
volume_change,0.6002275040666486
volume_percentile_60,0.5800910851742048
ADX_14,0.5655250351928295
return_3d,0.548072726774177
is_month_start,0.5366488547269247
STOCHk_14_3_3,0.4629016530034803
open_close_gap,0.45064111517502115
volume_ma_ratio,0.4208306140500026
RSI_14,0.3969276284072287
is_month_end,0.34944084308180406
close_pct_change,0.3428991671783096
SMA_20,0.31973702041764607
trend_strength,0.31665645622385347
return_5d,0.2981934465222602
pct_chg,0.2936085211990782
rsi_volume_cross,0.28384430449850573
MACD_12_26_9,0.2443747095410497
BBP_5_2.0_2.0,0.24207309651540834
ma5,0.22654041152512636
ma10,0.20868561604360272
rsi_stoch_cross,0.20235688982504293
macd,0.19575453325321
bb_position,0.18636060916693273
ma_alignment,0.1810850160793723
bb_volume_cross,0.17735871926336924
SMA_5,0.13867662902146485
momentum_ma_cross,0.1292430289643382
price_volume_momentum,0.09672761172563529
change,0.09463847199707133
SMA_10,0.09159394628958632
BBM_5_2.0_2.0,0.07760826402265958
stoch_signal,0.0
rsi_divergence,0.0
