iter	MultiClass
0	1.096334991
1	1.094307433
2	1.092454873
3	1.090761531
4	1.089148623
5	1.087688456
6	1.08635312
7	1.085157217
8	1.083970618
9	1.082928752
10	1.081887004
11	1.080963256
12	1.080099568
13	1.079287579
14	1.078484187
15	1.077713651
16	1.077015423
17	1.076321081
18	1.075755692
19	1.075170753
20	1.074603951
21	1.074084254
22	1.073569033
23	1.073089141
24	1.072628327
25	1.072131005
26	1.071706698
27	1.071326789
28	1.070957243
29	1.070577098
30	1.070145842
31	1.06981457
32	1.069431127
33	1.069074535
34	1.068684498
35	1.06836194
36	1.068081541
37	1.06776864
38	1.067425355
39	1.067106212
40	1.066865265
41	1.066540116
42	1.066197067
43	1.065852723
44	1.065518153
45	1.065285567
46	1.064973372
47	1.064664828
48	1.064381486
49	1.064108624
50	1.063879218
51	1.063604826
52	1.06339438
53	1.06319418
54	1.062938748
55	1.062675661
56	1.062408806
57	1.06215726
58	1.061945283
59	1.061743434
60	1.061518503
61	1.061203246
62	1.060972309
63	1.060774818
64	1.060572969
65	1.060387842
66	1.060152195
67	1.059947284
68	1.059671714
69	1.059476695
70	1.059256004
71	1.059035548
72	1.058787417
73	1.058552005
74	1.058341088
75	1.058134529
76	1.057933975
77	1.057709162
78	1.057529335
79	1.057329841
80	1.057184166
81	1.05700481
82	1.056779997
83	1.056593221
84	1.056349448
85	1.056065988
86	1.055841175
87	1.055665352
88	1.055474926
89	1.05521655
90	1.055059098
91	1.054876327
92	1.054668354
93	1.054439772
94	1.054298454
95	1.054113446
96	1.053942922
97	1.053750848
98	1.05356313
99	1.053310878
100	1.053121041
101	1.052947338
102	1.052764567
103	1.052604995
104	1.052460026
105	1.052244281
106	1.05208471
107	1.051927729
108	1.05171693
109	1.051535925
110	1.051329837
111	1.051121275
112	1.05094027
113	1.050798599
114	1.050617948
115	1.050502303
116	1.050315999
117	1.050153365
118	1.049974127
119	1.049820797
120	1.049683954
121	1.049543107
122	1.049406265
123	1.049269657
124	1.049069575
125	1.048946275
126	1.048818618
127	1.048665877
128	1.048540928
129	1.048396666
130	1.048245338
131	1.048105434
132	1.047968002
133	1.04780054
134	1.047675592
