iter	Passed	Remaining
0	103	81839
1	206	81560
2	299	78766
3	395	78066
4	487	76811
5	576	75614
6	662	74419
7	748	73441
8	838	73018
9	932	73047
10	1033	73459
11	1125	73226
12	1211	72681
13	1300	72362
14	1397	72487
15	1495	72602
16	1593	72734
17	1696	73029
18	1781	72570
19	1868	72222
20	1957	71959
21	2048	71790
22	2147	71903
23	2230	71468
24	2321	71325
25	2421	71443
26	2512	71268
27	2598	71001
28	2690	70891
29	2781	70753
30	2882	70862
31	2969	70628
32	3067	70653
33	3163	70624
34	3263	70673
35	3367	70807
36	3454	70587
37	3557	70677
38	3665	70862
39	3755	70704
40	3836	70371
41	3932	70308
42	4046	70575
43	4148	70621
44	4266	70925
45	4360	70810
46	4466	70899
47	4572	70967
48	4676	71005
49	4785	71108
50	4881	71019
51	4983	71018
52	5073	70837
53	5161	70639
54	5252	70476
55	5356	70490
56	5447	70340
57	5539	70201
58	5635	70114
59	5730	70012
60	5830	69969
61	5941	70048
62	6036	69949
63	6128	69802
64	6221	69685
65	6311	69519
66	6412	69484
67	6514	69454
68	6619	69454
69	6717	69378
70	6801	69166
71	6896	69059
72	7001	69057
73	7102	69007
74	7200	68932
75	7300	68870
76	7391	68727
77	7490	68663
78	7589	68590
79	7685	68495
80	7768	68288
81	7876	68291
82	7989	68343
83	8091	68292
84	8204	68338
85	8308	68301
86	8404	68199
87	8495	68057
88	8589	67945
89	8691	67890
90	8788	67799
91	8884	67699
92	8989	67660
93	9099	67663
94	9193	67546
95	9299	67520
96	9396	67423
97	9499	67371
98	9599	67292
99	9713	67312
100	9807	67193
101	9908	67123
102	10003	67013
103	10113	66999
104	10205	66872
105	10326	66925
106	10431	66881
107	10522	66741
108	10629	66701
109	10729	66619
110	10839	66601
111	10945	66549
112	11048	66486
113	11138	66341
114	11244	66295
115	11327	66107
116	11446	66136
117	11550	66073
118	11654	66011
119	11746	65878
120	11843	65777
121	11947	65708
122	12047	65622
123	12137	65481
124	12250	65466
125	12346	65359
126	12434	65208
127	12530	65099
128	12623	64976
129	12727	64908
130	12820	64785
131	12906	64629
132	12999	64508
133	13097	64411
134	13189	64286
135	13283	64173
136	13397	64150
137	13513	64140
138	13614	64055
139	13719	63993
140	13823	63920
141	13939	63907
142	14037	63808
143	14126	63668
144	14224	63570
145	14326	63488
146	14426	63397
147	14535	63345
148	14628	63225
149	14725	63123
150	14816	62992
151	14911	62882
152	15002	62754
153	15101	62659
154	15196	62552
155	15289	62430
156	15368	62259
157	15476	62200
158	15585	62144
159	15692	62082
160	15807	62050
161	15906	61955
162	16018	61912
163	16116	61811
164	16215	61717
165	16324	61660
166	16419	61549
167	16517	61447
168	16632	61411
169	16739	61345
170	16838	61248
171	16935	61145
172	17034	61049
173	17145	60994
174	17247	60908
175	17349	60821
176	17471	60803
177	17573	60717
178	17677	60637
179	17789	60582
180	17882	60463
181	17975	60345
182	18069	60231
183	18180	60173
184	18284	60092
185	18376	59971
186	18479	59884
187	18594	59837
188	18700	59761
189	18795	59650
190	18901	59573
191	19005	59492
192	19091	59352
193	19196	59272
194	19292	59162
195	19386	59050
196	19494	58977
197	19588	58865
198	19683	58754
199	19780	58647
200	19880	58553
201	19987	58477
202	20086	58378
203	20190	58293
204	20307	58247
205	20398	58125
206	20490	58007
207	20584	57895
208	20675	57771
209	20766	57652
210	20871	57570
211	20984	57509
212	21082	57408
213	21189	57331
214	21309	57288
215	21408	57187
216	21506	57086
217	21609	56996
218	21711	56907
219	21803	56789
220	21898	56678
221	22002	56591
222	22101	56491
223	22212	56423
224	22309	56319
225	22422	56254
226	22517	56145
227	22616	56045
228	22710	55932
229	22811	55839
230	22916	55752
231	23009	55638
232	23104	55530
233	23210	55447
234	23307	55341
235	23405	55241
236	23504	55142
237	23605	55047
238	23692	54919
239	23793	54824
240	23895	54731
241	24021	54694
242	24117	54586
243	24218	54492
244	24322	54402
245	24418	54296
246	24508	54176
247	24613	54089
248	24721	54009
249	24809	53886
250	24911	53792
251	25010	53693
252	25102	53579
253	25201	53479
254	25307	53394
255	25410	53302
256	25501	53186
257	25596	53077
